Source,Target
1,2
3,4
5,6
5,7
8,1
9,10
5,11
12,1
5,13
11,14
3,15
16,7
3,10
17,18
11,19
20,21
22,14
13,6
13,11
15,23
13,22
9,23
24,16
24,25
13,26
15,27
13,7
7,6
22,7
28,14
16,29
5,16
9,18
11,3
5,24
5,22
24,22
24,30
21,31
32,33
28,31
11,16
21,27
14,29
10,30
9,27
13,24
16,22
17,34
35,36
10,34
37,27
38,34
39,40
15,36
21,41
10,28
42,43
44,1
20,45
21,18
38,15
10,15
38,28
15,14
5,46
46,45
47,33
13,16
27,48
49,33
21,45
10,40
22,50
15,30
51,52
20,53
37,45
11,24
54,36
55,30
38,50
40,19
38,14
56,26
21,36
57,25
13,3
9,41
58,41
2,59
14,30
27,18
16,30
60,14
35,4
5,25
16,31
36,30
61,26
58,36
62,63
64,65
66,33
67,68
66,47
47,69
66,59
49,32
49,12
56,70
4,25
71,12
33,72
18,29
18,48
3,50
73,74
3,21
14,19
75,76
26,54
77,78
77,79
12,80
67,81
32,80
12,52
80,2
82,72
71,47
80,1
30,50
83,69
84,85
55,86
67,35
16,50
21,25
32,12
87,88
43,80
49,69
83,12
11,29
16,6
5,21
71,89
90,91
92,80
49,47
5,55
37,4
49,66
56,93
64,85
21,58
71,59
37,20
61,67
5,50
27,91
40,14
18,90
5,31
12,33
31,25
16,58
11,4
13,94
66,95
80,89
96,97
22,30
81,95
24,58
66,81
10,29
53,81
5,3
51,59
83,47
32,72
32,47
56,98
32,82
83,49
83,66
83,99
11,15
82,47
24,36
83,71
32,66
17,90
100,101
66,72
9,102
83,32
103,104
77,105
78,101
66,12
106,100
86,96
106,107
103,105
47,12
28,40
77,106
87,108
109,76
47,72
107,105
61,98
67,59
87,110
77,103
77,111
106,103
31,112
113,114
56,61
115,116
100,107
49,71
11,22
112,25
68,117
11,58
67,117
118,88
51,72
87,119
22,58
61,54
13,58
58,7
120,121
122,121
71,66
123,113
124,125
24,7
122,75
90,48
5,126
121,127
115,127
8,93
61,117
56,36
70,98
117,52
61,35
5,112
75,127
115,75
126,31
126,25
68,52
44,35
120,127
128,107
26,35
112,6
27,69
98,93
115,122
3,45
115,120
122,120
9,48
34,30
63,30
122,127
28,50
129,65
55,7
130,88
66,116
120,75
37,3
126,112
67,12
71,116
71,67
59,95
6,25
131,132
47,67
47,116
106,131
3,20
115,123
62,121
123,75
120,123
40,50
121,133
81,59
38,40
22,40
134,135
38,22
136,137
67,26
132,138
139,81
132,104
85,125
28,22
42,1
123,114
85,65
139,66
106,104
94,140
141,76
58,99
118,75
115,118
118,120
47,26
61,47
126,6
44,93
118,123
138,104
139,72
31,6
142,143
47,54
72,59
18,144
19,127
83,23
96,145
134,133
43,94
108,146
108,145
43,1
12,18
107,147
148,104
3,31
110,39
34,15
119,146
62,133
62,135
110,112
61,93
149,47
115,150
56,47
12,117
100,111
13,80
73,151
74,151
42,54
64,150
62,137
43,68
43,53
43,117
89,59
139,43
152,153
24,154
139,140
108,151
84,118
131,138
12,51
84,141
72,95
107,103
67,95
42,26
125,76
11,40
125,75
40,127
38,11
99,50
11,127
87,73
73,110
87,155
156,41
73,155
13,2
83,156
39,112
46,58
99,156
74,113
22,157
87,74
107,104
62,158
149,89
149,59
74,155
21,112
140,36
43,81
151,103
13,159
74,145
148,131
123,65
87,151
28,60
160,131
73,108
100,128
108,155
100,157
128,111
77,128
128,147
13,43
27,90
118,130
118,144
141,75
125,141
94,2
109,113
84,130
84,150
69,90
161,124
74,108
13,42
17,36
17,140
17,107
17,147
16,40
103,36
16,127
16,14
27,144
133,137
34,36
38,16
75,104
118,150
151,76
140,34
76,162
155,151
51,153
152,51
163,164
153,72
56,67
14,127
160,132
24,159
46,76
110,155
56,159
43,92
43,2
89,2
53,153
79,165
92,79
39,31
92,95
42,61
13,89
61,165
61,95
92,61
21,126
16,28
81,72
128,132
163,118
96,33
40,30
163,88
10,16
75,113
151,150
108,126
77,108
84,88
11,165
80,7
127,166
143,104
151,14
62,167
139,46
14,150
153,59
45,4
45,6
67,153
112,4
61,79
11,92
30,29
43,12
22,143
157,143
120,88
37,21
34,147
43,67
32,159
32,154
32,24
75,88
92,165
107,138
168,33
122,45
3,112
122,4
20,31
3,26
43,35
43,4
168,40
40,29
60,40
11,95
168,29
56,12
38,30
168,19
10,166
38,10
30,166
168,166
11,61
49,166
152,26
56,66
56,51
154,52
87,165
154,51
108,113
34,40
43,26
26,4
134,167
96,31
107,143
107,157
62,31
70,140
100,147
22,15
82,58
94,126
84,162
15,166
43,54
122,31
168,34
131,143
163,120
78,143
112,7
158,157
16,34
62,169
170,171
123,172
169,173
115,172
